pk,name,location
169,Mahatma Phule Krishi Vidyapeeth
170,Marathwada Agricultural University
171,North Maharashtra University
172,Rashtrasant Tukadoji Maharaj Nagpur University
173,Sant Gadge Baba Amravati University
174,Shivaji University
175,Shreemati Nathibai Damodar Thackersey Women's University
176,Solapur University
177,Swami Ramanand Teerth Marathwada University
178,University of Mumbai
179,University of Pune
180,Yashwantrao Chavan Maharashtra Open University
181,Berhampur University
182,Biju Patnaik University of Technology
183,Fakir Mohan University
184,National Law University Orissa
185,North Orissa University
186,Orissa University of Agriculture and Technology
187,Ravenshaw University
188,Sambalpur University
189,Shri Jagannath Sanskrit Vishvavidyalaya
190,Utkal University
191,Utkal University of Culture
192,Veer Surendra Sai University of Technology Burla
193,Baba Farid University of Health Sciences
194,Guru Angad Dev Veterinary and Animal Sciences University
195,Guru Nanak Dev University
196,Punjab Agricultural University
197,Punjab Technical University
198,Punjabi University
199,Rajiv Gandhi National University of Law
200,Jagadguru Ramanadacharya Rajasthan Sanskrit University
201,Jai Narain Vyas University
202,Maharaja Ganga Singh University
203,Maharana Pratap University of Agriculture and Technology
204,Maharshi Dayanand Saraswati University
205,Mohanlal Sukhadia University
206,National Law University Jodhpur
207,Rajasthan Agricultural University
208,Rajasthan Ayurved University
209,Rajasthan Technical University
210,Rajasthan University of Health Sciences
211,University of Kota
212,University of Rajasthan
213,Vardhaman Mahaveer Open University
214,Alagappa University
215,Anna University Chennai
216,Anna University of Technology Chennai
217,Anna University of Technology Coimbatore
218,Anna University of Technology Madurai
219,Anna University of Technology Tiruchirappalli
220,Anna University of Technology Tirunelveli
221,Annamalai University
222,Bharathiar University
223,Bharathidasan University
224,Madurai Kamaraj University
225,Manonmaniam Sundaranar University
226,Mother Teresa Women's University
227,Periyar University
228,Tamil University
229,Tamil Nadu Agricultural University
2,30,Tamil Nadu Dr. Ambedkar Law University
231,Tamil Nadu Dr. M.G.R. Medical University
232,Tamil Nadu Open University
233,Tamil Nadu Physical Education and Sports University
234,Tamil Nadu Teacher Education University
235,Tamil Nadu Veterinary and Animal Sciences University
236,Thiruvalluvar University
237,University of Madras
238,Bundelkhand University
239,Chandra Shekhar Azad University of Agriculture and Technology
240,Chaudhary Charan Singh University
241,Chhatrapati Shahuji Maharaj Medical University
242,Chhatrapati Shahu Ji Maharaj University
243,Deen Dayal Upadhyay Gorakhpur University
244,Dr. B. R. Ambedkar University
245,Dr. Ram Manohar Lohia Avadh University
246,Dr. Ram Manohar Lohia National Law University
247,Dr. Shakuntala Misra Rehabilitation University
248,Gautam Buddha University
249,Gautam Buddh Technical University
250,M. J. P. Rohilkhand University
251,Mahamaya Technical University
252,Mahatma Gandhi Kashi Vidyapeeth
253,Manyavar Sri Kanshi Ram Ji Urdu
254,Narendra Dev University of Agriculture and Technology
255,Sampurnanand Sanskrit University
256,Sardar Vallabhbhai Patel University of Agriculture and Technology
257,University of Lucknow
258,Uttar Pradesh King George's University of Dental Sciences
259,Uttar Pradesh Rajarshi Tandon Open University
260,Veer Bahadur Singh Purvanchal University
261,Doon University
262,G. B. Pant University of Agriculture and Technology
263,Kumaun University
264,Uttarakhand Open University
265,Uttarakhand Technical University
266,Uttaranchal Sanskrit University
267,Aliah University
268,Bengal Engineering and Science University Shibpur
269,Bidhan Chandra Krishi Viswavidyalaya
270,Jadavpur University
271,Netaji Subhas Open University
272,Presidency University Kolkata
273,Rabindra Bharati University
274,Sidho Kanho Birsha University
275,University of Burdwan
276,University of Calcutta
277,University of Gour Banga
278,University of Kalyani
279,University of North Bengal
280,Uttar Banga Krishi Vishwavidyalaya
281,Vidyasagar University
282,West Bengal State University
283,West Bengal National University of Juridical Sciences
284, Indian Institute of Technology 
